"Reference","Qty","Value","Exclude from BOM","Footprint"
"U1","1","LM2596S-5","No","Package_TO_SOT_SMD:TO-263-5_TabPin3"
"L1","1","33 µH","No","Inductor_THT:Inductor_Radial_D;15_P;10"
"J2","1","Screw_Terminal_2_P5.00mm","No","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal"
"H1,H2,H3,H4","4","M3 Bolts","No","MountingHole:MountingHole_3.2mm_M3"
"D1","1","SR503","No","Diode_THT:D_DO-201AD_P15.24mm_Horizontal"
"C2","1","220 µF","No","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"
"C1","1","680 µF","No","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"
"BT1,BT2,BT3,BT4","4","2 AA Batteries","No","Battery:BatteryHolder_Keystone_2462_2xAA"


